event, ALock, AThread
end, , 487075464
begin, , 2041416495
acquire, 6320204, 2041416495
acquire, 6320204, 2041416495
acquire, 6320204, 2041416495
acquire, 6320204, 2041416495
acquire, 6320204, 2041416495
Sum is :3
release, 6320204, 2041416495
release, 6320204, 2041416495
release, 6320204, 2041416495
release, 6320204, 2041416495
release, 6320204, 2041416495
Thread Thread_O#0#2 SUCCEEDED:Lock Lock_I#0#8 is accuqired and released equivalent times
end, , 2041416495
begin, , 112302969
acquire, 707976812, 112302969
acquire, 707976812, 112302969
acquire, 707976812, 112302969
acquire, 707976812, 112302969
acquire, 707976812, 112302969
Sum is :45
release, 707976812, 112302969
release, 707976812, 112302969
release, 707976812, 112302969
release, 707976812, 112302969
release, 707976812, 112302969
Thread Thread_I#0#9 SUCCEEDED:Lock Lock_I#0#9 is accuqired and released equivalent times
end, , 112302969
begin, , 1043351526
acquire, 707976812, 1043351526
acquire, 707976812, 1043351526
acquire, 707976812, 1043351526
acquire, 707976812, 1043351526
acquire, 707976812, 1043351526
Sum is :0
release, 707976812, 1043351526
release, 707976812, 1043351526
release, 707976812, 1043351526
release, 707976812, 1043351526
release, 707976812, 1043351526
Thread Thread_O#0#0 SUCCEEDED:Lock Lock_I#0#9 is accuqired and released equivalent times
end, , 1043351526
begin, , 1989335500
acquire, 1978869058, 1989335500
acquire, 1978869058, 1989335500
acquire, 1978869058, 1989335500
acquire, 1978869058, 1989335500
acquire, 1978869058, 1989335500
Sum is :55
release, 1978869058, 1989335500
release, 1978869058, 1989335500
release, 1978869058, 1989335500
release, 1978869058, 1989335500
release, 1978869058, 1989335500
Thread Thread_I#0#10 SUCCEEDED:Lock Lock_I#0#10 is accuqired and released equivalent times
end, , 1989335500
begin, , 1076770748
acquire, 1978869058, 1076770748
acquire, 1978869058, 1076770748
acquire, 1978869058, 1076770748
acquire, 1978869058, 1076770748
acquire, 1978869058, 1076770748
Sum is :1
release, 1978869058, 1076770748
release, 1978869058, 1076770748
release, 1978869058, 1076770748
release, 1978869058, 1076770748
release, 1978869058, 1076770748
Thread Thread_O#0#1 SUCCEEDED:Lock Lock_I#0#10 is accuqired and released equivalent times
end, , 1076770748
begin, , 2131952342
acquire, 1139700454, 2131952342
acquire, 1139700454, 2131952342
acquire, 1139700454, 2131952342
acquire, 1139700454, 2131952342
acquire, 1139700454, 2131952342
Sum is :66
release, 1139700454, 2131952342
release, 1139700454, 2131952342
release, 1139700454, 2131952342
release, 1139700454, 2131952342
release, 1139700454, 2131952342
Thread Thread_I#0#11 SUCCEEDED:Lock Lock_I#0#11 is accuqired and released equivalent times
end, , 2131952342
begin, , 2041416495
acquire, 1139700454, 2041416495
acquire, 1139700454, 2041416495
acquire, 1139700454, 2041416495
acquire, 1139700454, 2041416495
acquire, 1139700454, 2041416495
Sum is :3
release, 1139700454, 2041416495
release, 1139700454, 2041416495
release, 1139700454, 2041416495
release, 1139700454, 2041416495
release, 1139700454, 2041416495
Thread Thread_O#0#2 SUCCEEDED:Lock Lock_I#0#11 is accuqired and released equivalent times
end, , 2041416495
begin, , 592617454
acquire, 1340565491, 592617454
acquire, 1340565491, 592617454
acquire, 1340565491, 592617454
acquire, 1340565491, 592617454
acquire, 1340565491, 592617454
Sum is :78
release, 1340565491, 592617454
release, 1340565491, 592617454
release, 1340565491, 592617454
release, 1340565491, 592617454
release, 1340565491, 592617454
Thread Thread_I#0#12 SUCCEEDED:Lock Lock_I#0#12 is accuqired and released equivalent times
end, , 592617454
begin, , 1043351526
acquire, 1340565491, 1043351526
acquire, 1340565491, 1043351526
acquire, 1340565491, 1043351526
acquire, 1340565491, 1043351526
acquire, 1340565491, 1043351526
Sum is :0
release, 1340565491, 1043351526
release, 1340565491, 1043351526
release, 1340565491, 1043351526
release, 1340565491, 1043351526
release, 1340565491, 1043351526
Thread Thread_O#0#0 SUCCEEDED:Lock Lock_I#0#12 is accuqired and released equivalent times
end, , 1043351526
begin, , 671467883
acquire, 407697359, 671467883
acquire, 407697359, 671467883
acquire, 407697359, 671467883
acquire, 407697359, 671467883
acquire, 407697359, 671467883
Sum is :91
release, 407697359, 671467883
release, 407697359, 671467883
release, 407697359, 671467883
release, 407697359, 671467883
release, 407697359, 671467883
Thread Thread_I#0#13 SUCCEEDED:Lock Lock_I#0#13 is accuqired and released equivalent times
end, , 671467883
begin, , 1076770748
acquire, 407697359, 1076770748
acquire, 407697359, 1076770748
acquire, 407697359, 1076770748
acquire, 407697359, 1076770748
acquire, 407697359, 1076770748
Sum is :1
release, 407697359, 1076770748
release, 407697359, 1076770748
release, 407697359, 1076770748
release, 407697359, 1076770748
release, 407697359, 1076770748
Thread Thread_O#0#1 SUCCEEDED:Lock Lock_I#0#13 is accuqired and released equivalent times
end, , 1076770748
begin, , 802600647
acquire, 1543148593, 802600647
acquire, 1543148593, 802600647
acquire, 1543148593, 802600647
acquire, 1543148593, 802600647
acquire, 1543148593, 802600647
Sum is :105
release, 1543148593, 802600647
release, 1543148593, 802600647
release, 1543148593, 802600647
release, 1543148593, 802600647
release, 1543148593, 802600647
Thread Thread_I#0#14 SUCCEEDED:Lock Lock_I#0#14 is accuqired and released equivalent times
end, , 802600647
begin, , 2041416495
acquire, 1543148593, 2041416495
acquire, 1543148593, 2041416495
acquire, 1543148593, 2041416495
acquire, 1543148593, 2041416495
acquire, 1543148593, 2041416495
Sum is :3
release, 1543148593, 2041416495
release, 1543148593, 2041416495
release, 1543148593, 2041416495
release, 1543148593, 2041416495
release, 1543148593, 2041416495
Thread Thread_O#0#2 SUCCEEDED:Lock Lock_I#0#14 is accuqired and released equivalent times
end, , 2041416495
begin, , 1571967156
acquire, 574568002, 1571967156
acquire, 574568002, 1571967156
acquire, 574568002, 1571967156
acquire, 574568002, 1571967156
acquire, 574568002, 1571967156
Sum is :120
release, 574568002, 1571967156
release, 574568002, 1571967156
release, 574568002, 1571967156
release, 574568002, 1571967156
release, 574568002, 1571967156
Thread Thread_I#0#15 SUCCEEDED:Lock Lock_I#0#15 is accuqired and released equivalent times
end, , 1571967156
begin, , 1043351526
acquire, 574568002, 1043351526
acquire, 574568002, 1043351526
acquire, 574568002, 1043351526
acquire, 574568002, 1043351526
acquire, 574568002, 1043351526
Sum is :0
release, 574568002, 1043351526
release, 574568002, 1043351526
release, 574568002, 1043351526
release, 574568002, 1043351526
release, 574568002, 1043351526
Thread Thread_O#0#0 SUCCEEDED:Lock Lock_I#0#15 is accuqired and released equivalent times
end, , 1043351526
begin, , 952486988
acquire, 932285561, 952486988
acquire, 932285561, 952486988
acquire, 932285561, 952486988
acquire, 932285561, 952486988
acquire, 932285561, 952486988
Sum is :136
release, 932285561, 952486988
release, 932285561, 952486988
release, 932285561, 952486988
release, 932285561, 952486988
release, 932285561, 952486988
Thread Thread_I#0#16 SUCCEEDED:Lock Lock_I#0#16 is accuqired and released equivalent times
end, , 952486988
begin, , 1076770748
acquire, 932285561, 1076770748
acquire, 932285561, 1076770748
acquire, 932285561, 1076770748
acquire, 932285561, 1076770748
acquire, 932285561, 1076770748
Sum is :1
release, 932285561, 1076770748
release, 932285561, 1076770748
release, 932285561, 1076770748
release, 932285561, 1076770748
release, 932285561, 1076770748
Thread Thread_O#0#1 SUCCEEDED:Lock Lock_I#0#16 is accuqired and released equivalent times
end, , 1076770748
begin, , 2028555727
acquire, 591391158, 2028555727
acquire, 591391158, 2028555727
acquire, 591391158, 2028555727
acquire, 591391158, 2028555727
acquire, 591391158, 2028555727
Sum is :153
release, 591391158, 2028555727
release, 591391158, 2028555727
release, 591391158, 2028555727
release, 591391158, 2028555727
release, 591391158, 2028555727
Thread Thread_I#0#17 SUCCEEDED:Lock Lock_I#0#17 is accuqired and released equivalent times
end, , 2028555727
begin, , 2041416495
acquire, 591391158, 2041416495
acquire, 591391158, 2041416495
acquire, 591391158, 2041416495
acquire, 591391158, 2041416495
acquire, 591391158, 2041416495
Sum is :3
release, 591391158, 2041416495
release, 591391158, 2041416495
release, 591391158, 2041416495
release, 591391158, 2041416495
release, 591391158, 2041416495
Thread Thread_O#0#2 SUCCEEDED:Lock Lock_I#0#17 is accuqired and released equivalent times
end, , 2041416495
begin, , 898557489
acquire, 247944893, 898557489
acquire, 247944893, 898557489
acquire, 247944893, 898557489
acquire, 247944893, 898557489
acquire, 247944893, 898557489
Sum is :171
release, 247944893, 898557489
release, 247944893, 898557489
release, 247944893, 898557489
release, 247944893, 898557489
release, 247944893, 898557489
Thread Thread_I#0#18 SUCCEEDED:Lock Lock_I#0#18 is accuqired and released equivalent times
end, , 898557489
begin, , 1043351526
acquire, 247944893, 1043351526
acquire, 247944893, 1043351526
acquire, 247944893, 1043351526
acquire, 247944893, 1043351526
acquire, 247944893, 1043351526
Sum is :0
